"","max_PM2.5","max_O3","max_PM10","Longitude","Latitude","Elevation","Land.Use_AGRICULTURAL","Land.Use_COMMERCIAL","Land.Use_INDUSTRIAL","Location.Setting_RURAL","Location.Setting_SUBURBAN"
"86",10.3,0.037,10,-102.5273,47.3132,664,1,0,0,1,0
"87",9.5,0.047,11,-99.763424,38.770081,668,1,0,0,1,0
"88",10.4,0.0315,25,-76.283333,40.046667,107,0,0,1,0,1
"89",8.75,0.03,13.3333333333333,-95.973142,41.247486,374,0,0,0,0,1
"90",2.4,0.03,6,-112.07526,33.40314,325,0,0,0,0,0
"91",4.2,0.023,15,-119.77321,36.78538,100,0,1,0,0,0
"92",2.3,0.055,15,-104.75308,41.13069,1827,0,0,0,0,0
"93",42.5,0.021,39,-105.00518,39.77949,1602,0,0,0,0,0
"94",7.95,0.046,20,-119.143182,34.25239,39,0,0,0,1,0
"95",4.23333333333333,0.031,11,-72.902871,41.3014,2,0,1,0,0,0
"96",1.16666666666667,0.041,7,-82.0224,33.4339,49,0,0,0,0,1
"97",5.66666666666667,0.063,10,-102.4018,48.64193,681,1,0,0,1,0
"98",3.3,0.038,5,-112.06619,33.56031,386,0,0,0,0,1
"99",8.2,0.062,24,-78.370833,40.535278,372,0,0,1,0,1
"100",7.5,0.053,24,-95.976537,36.204902,201,0,0,0,0,0
"101",2.9,0.045,7,-115.052942,36.048705,564,0,0,0,0,1
"102",9.86666666666667,0.034,15,-102.5273,47.3132,664,1,0,0,1,0
"103",4,0.054,14,-97.475083,35.614131,355,0,0,0,0,1
"104",1.6,0.036,3,-118.330783,37.360684,1239,1,0,0,1,0
"105",1.8,0.051,39,-104.778334,41.182227,1842,0,0,0,0,1
"106",3.4,0.018,6,-71.0826,42.3295,20,0,1,0,0,0
"107",5.35,0.035,9.66666666666667,-96.85535,46.933754,271,1,0,0,0,1
"108",4.5,0.04,8,-122.356811,37.9604,11,0,1,0,0,0
"109",13.4,0.053,15,-75.080833,39.991389,4,0,0,0,0,0
"110",4.75,0.036,6,-109.455315,47.048537,1250,0,1,0,1,0
"111",2,0.041,3,-86.114444,39.810833,233,0,0,0,0,1
"112",4,0.054,13,-96.700769,43.54792,449,0,1,0,0,0
"113",11.7,0.038,32,-80.038611,42.14175,192,0,1,0,0,1
"114",5.9,0.057,20,-114.61444,32.690278,60,0,1,0,0,0
"115",3.13333333333333,0.043,34,-120.66617,35.49453,269,0,1,0,0,1
"116",3.4,0.012,3,-103.2995,47.5812,602,1,0,0,1,0
"117",6.5,0.042,15,-91.68766,41.97677,226,0,0,0,0,0
"118",5.7,0.045,22,-121.49311,38.56844,8,0,0,0,0,0
"119",23.5,0.058,48,-112.19193,33.57453,359,0,0,0,1,0
"120",12.9,0.024,29,-90.587611,41.530011,222,0,0,0,0,0
"121",7.5,0.042,18,-119.691218,34.427775,24,0,0,0,0,0
"122",7.15,0.021,13,-101.766944,47.298611,601,1,0,0,1,0
